1	2
1	3
1	4
1	5
2	3
2	4
2	5
3	4
3	5
4	5
1	150
6	7
6	8
6	9
6	10
7	8
7	9
7	10
8	9
8	10
9	10
6	5
11	12
11	13
11	14
11	15
12	13
12	14
12	15
13	14
13	15
14	15
11	10
16	17
16	18
16	19
16	20
17	18
17	19
17	20
18	19
18	20
19	20
16	15
21	22
21	23
21	24
21	25
22	23
22	24
22	25
23	24
23	25
24	25
21	20
26	27
26	28
26	29
26	30
27	28
27	29
27	30
28	29
28	30
29	30
26	25
31	32
31	33
31	34
31	35
32	33
32	34
32	35
33	34
33	35
34	35
31	30
36	37
36	38
36	39
36	40
37	38
37	39
37	40
38	39
38	40
39	40
36	35
41	42
41	43
41	44
41	45
42	43
42	44
42	45
43	44
43	45
44	45
41	40
46	47
46	48
46	49
46	50
47	48
47	49
47	50
48	49
48	50
49	50
46	45
51	52
51	53
51	54
51	55
52	53
52	54
52	55
53	54
53	55
54	55
51	50
56	57
56	58
56	59
56	60
57	58
57	59
57	60
58	59
58	60
59	60
56	55
61	62
61	63
61	64
61	65
62	63
62	64
62	65
63	64
63	65
64	65
61	60
66	67
66	68
66	69
66	70
67	68
67	69
67	70
68	69
68	70
69	70
66	65
71	72
71	73
71	74
71	75
72	73
72	74
72	75
73	74
73	75
74	75
71	70
76	77
76	78
76	79
76	80
77	78
77	79
77	80
78	79
78	80
79	80
76	75
81	82
81	83
81	84
81	85
82	83
82	84
82	85
83	84
83	85
84	85
81	80
86	87
86	88
86	89
86	90
87	88
87	89
87	90
88	89
88	90
89	90
86	85
91	92
91	93
91	94
91	95
92	93
92	94
92	95
93	94
93	95
94	95
91	90
96	97
96	98
96	99
96	100
97	98
97	99
97	100
98	99
98	100
99	100
96	95
101	102
101	103
101	104
101	105
102	103
102	104
102	105
103	104
103	105
104	105
101	100
106	107
106	108
106	109
106	110
107	108
107	109
107	110
108	109
108	110
109	110
106	105
111	112
111	113
111	114
111	115
112	113
112	114
112	115
113	114
113	115
114	115
111	110
116	117
116	118
116	119
116	120
117	118
117	119
117	120
118	119
118	120
119	120
116	115
121	122
121	123
121	124
121	125
122	123
122	124
122	125
123	124
123	125
124	125
121	120
126	127
126	128
126	129
126	130
127	128
127	129
127	130
128	129
128	130
129	130
126	125
131	132
131	133
131	134
131	135
132	133
132	134
132	135
133	134
133	135
134	135
131	130
136	137
136	138
136	139
136	140
137	138
137	139
137	140
138	139
138	140
139	140
136	135
141	142
141	143
141	144
141	145
142	143
142	144
142	145
143	144
143	145
144	145
141	140
146	147
146	148
146	149
146	150
147	148
147	149
147	150
148	149
148	150
149	150
146	145
